"track_name","min_played","artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"HOPE",273.199533333333,"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY","album","2023-04-07","2023","day","0.546","0.787","0","-4.023","0","0.212","0.396","0","0.0619","0.497","100.559","0EgLxY52mpGsXETyEsgVlP","https://api.spotify.com/v1/audio-analysis/0EgLxY52mpGsXETyEsgVlP","3","1","264473","FALSE","https://api.spotify.com/v1/tracks/0EgLxY52mpGsXETyEsgVlP","FALSE",NA,"1","track","spotify:track:0EgLxY52mpGsXETyEsgVlP","https://open.spotify.com/track/0EgLxY52mpGsXETyEsgVlP","HOPE","C","minor","C minor"
"HOPE",273.199533333333,"Tenacious D","1XpDYCrUJnvCo9Ez6yeMWh","4O83oaztVuBlPDrp50Q3mh","album","2018-11-02","2018","day","0.642","0.535","2","-7.059","1","0.0272","0.11","0","0.119","0.332","114.044","573ZzAdwkuwfugbjyI6N6C","https://api.spotify.com/v1/audio-analysis/573ZzAdwkuwfugbjyI6N6C","4","1","119293","FALSE","https://api.spotify.com/v1/tracks/573ZzAdwkuwfugbjyI6N6C","FALSE","https://p.scdn.co/mp3-preview/0b150a7bc7cd3a42ba0333e37f627ad11ef048ee?cid=70de8b5b9dfb42388b565626d698152e","3","track","spotify:track:573ZzAdwkuwfugbjyI6N6C","https://open.spotify.com/track/573ZzAdwkuwfugbjyI6N6C","Post-Apocalypto","D","major","D major"
"I Miss The Days",248.430683333333,"NF","6fOMl44jA4Sp5b9PpYCkzz","46xdC4Qcvscfs3Ai2RIHcv","album","2019-07-26","2019","day","0.719","0.768","11","-5.658","0","0.19","0.345","0","0.104","0.0979","137.887","3ebfDw8WEbf0DxGh47R2lo","https://api.spotify.com/v1/audio-analysis/3ebfDw8WEbf0DxGh47R2lo","4","1","269184","FALSE","https://api.spotify.com/v1/tracks/3ebfDw8WEbf0DxGh47R2lo","FALSE",NA,"13","track","spotify:track:3ebfDw8WEbf0DxGh47R2lo","https://open.spotify.com/track/3ebfDw8WEbf0DxGh47R2lo","The Search","B","minor","B minor"
"Desert Scene",216.840383333333,"Uncle Chris","1EUzyYvatkdogNrYYSxfOn","66vV4K8eoBoAAG17iNM5IV","album","2020-07-24","2020","day","0.527","0.397","11","-11.025","0","0.0582","0.716","0.901","0.156","0.0824","68.153","2E9XZB1GACy4pXPu7jVFri","https://api.spotify.com/v1/audio-analysis/2E9XZB1GACy4pXPu7jVFri","4","1","440493","FALSE","https://api.spotify.com/v1/tracks/2E9XZB1GACy4pXPu7jVFri","FALSE","https://p.scdn.co/mp3-preview/a38caa2e24659190542568decc56f07f3b2f3b0d?cid=c754a384dab5409faec10df188bbe142","1","track","spotify:track:2E9XZB1GACy4pXPu7jVFri","https://open.spotify.com/track/2E9XZB1GACy4pXPu7jVFri","Uncle Chris","B","minor","B minor"
"Slow Song (with Dragonette)",210.7071,"The Knocks","2x7EATekOPhFGRx3syMGEC","7L4utcNcdpI1cKbqjRhgNq","album","2022-12-16","2022","day","0.77","0.743","6","-3.251","1","0.0299","0.0205","3e-04","0.144","0.843","123.014","5cDurEYJvCEWbXvCLdehOk","https://api.spotify.com/v1/audio-analysis/5cDurEYJvCEWbXvCLdehOk","4","1","253723","FALSE","https://api.spotify.com/v1/tracks/5cDurEYJvCEWbXvCLdehOk","FALSE","https://p.scdn.co/mp3-preview/22f99f3dcc2269c92ae8a1e5783dd7b82b90f06a?cid=c754a384dab5409faec10df188bbe142","9","track","spotify:track:5cDurEYJvCEWbXvCLdehOk","https://open.spotify.com/track/5cDurEYJvCEWbXvCLdehOk","HISTORY (Deluxe)","F#","major","F# major"
"Slow Song (with Dragonette)",210.7071,"The Knocks","2x7EATekOPhFGRx3syMGEC","6IwONZNPHt81ip42NboklH","album","2022-04-29","2022","day","0.77","0.743","6","-3.251","1","0.0299","0.0205","3e-04","0.144","0.843","123.014","6zTbYrkYJSiNOw6jL7nM5H","https://api.spotify.com/v1/audio-analysis/6zTbYrkYJSiNOw6jL7nM5H","4","1","253723","FALSE","https://api.spotify.com/v1/tracks/6zTbYrkYJSiNOw6jL7nM5H","FALSE","https://p.scdn.co/mp3-preview/22f99f3dcc2269c92ae8a1e5783dd7b82b90f06a?cid=c754a384dab5409faec10df188bbe142","8","track","spotify:track:6zTbYrkYJSiNOw6jL7nM5H","https://open.spotify.com/track/6zTbYrkYJSiNOw6jL7nM5H","HISTORY","F#","major","F# major"
"Sacrifices",207.754616666667,"Drake","3TVXtAsR1Inumwj472S9r4","1lXY618HWkwYKJWBRYR4MK","album","2017-03-18","2017","day","0.903","0.439","8","-11.813","1","0.397","0.0407","0","0.138","0.532","139.112","0xl1w2q4VLojeXp4JfazPL","https://api.spotify.com/v1/audio-analysis/0xl1w2q4VLojeXp4JfazPL","4","1","307593","TRUE","https://api.spotify.com/v1/tracks/0xl1w2q4VLojeXp4JfazPL","FALSE",NA,"12","track","spotify:track:0xl1w2q4VLojeXp4JfazPL","https://open.spotify.com/track/0xl1w2q4VLojeXp4JfazPL","More Life","G#","major","G# major"
"End of Beginning",168.887016666667,"Djo","5p9HO3XC5P3BLxJs5Mtrhm","4JDXBZdRPId4devseaAOKH","album","2022-09-16","2022","day","0.689","0.454","2","-7.643","1","0.0584","0.0351","0.00259","0.0707","0.912","159.982","3qhlB30KknSejmIvZZLjOD","https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD","4","1","159245","FALSE","https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD","FALSE","https://p.scdn.co/mp3-preview/2f6f0965be46144eca9212258c7a2988376727a1?cid=c754a384dab5409faec10df188bbe142","6","track","spotify:track:3qhlB30KknSejmIvZZLjOD","https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD","DECIDE","D","major","D major"
"MAN ON THE MOON",157.830683333333,"BROCKHAMPTON","1Bl6wpkWCQ4KVgnASpvzzA","0EICXG4UBIAUOKVlfBGipA","album","2022-11-18","2022","day","0.736","0.737","7","-7.726","1","0.0437","0.0732","0.631","0.109","0.534","145.006","3UdquFlgsSBKueNRHgjOiG","https://api.spotify.com/v1/audio-analysis/3UdquFlgsSBKueNRHgjOiG","4","1","240600","FALSE","https://api.spotify.com/v1/tracks/3UdquFlgsSBKueNRHgjOiG","FALSE","https://p.scdn.co/mp3-preview/247875bd10508b438ea60a48ec0534d43273dab5?cid=c754a384dab5409faec10df188bbe142","6","track","spotify:track:3UdquFlgsSBKueNRHgjOiG","https://open.spotify.com/track/3UdquFlgsSBKueNRHgjOiG","TM","G","major","G major"
"Let You Down",148.157883333333,"NF","6fOMl44jA4Sp5b9PpYCkzz","1KOmHyNLuOe5YrPhD3Juuf","album","2017-10-06","2017","day","0.662","0.714","5","-5.68","0","0.121","0.312","0","0.179","0.464","147.997","52okn5MNA47tk87PeZJLEL","https://api.spotify.com/v1/audio-analysis/52okn5MNA47tk87PeZJLEL","4","1","212120","FALSE","https://api.spotify.com/v1/tracks/52okn5MNA47tk87PeZJLEL","FALSE",NA,"6","track","spotify:track:52okn5MNA47tk87PeZJLEL","https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL","Perception","F","minor","F minor"
